eval_id	interface	c1_x	c1_y	r1	a1	c2_x	c2_y	r2	a2	c3_x	c3_y	r3	a3
18	NO_ID	0.869746	0.231461	0.051045	50.328896	0.614319	0.234482	0.055373	32.429046	0.213929	0.691313	0.091969	76.503705
19	NO_ID	0.277423	0.792906	0.685782	45.624577	0.539191	0.843976	0.384058	64.109940	0.801264	0.339167	0.072592	50.506788
20	NO_ID	0.355474	0.406189	0.132885	64.256264	0.775211	0.310684	0.556718	63.517427	0.293995	0.894311	0.447741	46.429997
21	NO_ID	0.519643	0.224672	0.672824	55.256760	0.096954	0.281479	0.356951	50.315645	0.121149	0.797511	0.130568	42.994919
22	NO_ID	0.341616	0.253632	0.189810	63.904321	0.406519	0.637040	0.381346	38.570229	0.148101	0.447301	0.288001	79.427083
23	NO_ID	0.269928	0.761663	0.407533	32.257685	0.672204	0.212873	0.353799	67.670381	0.084345	0.498708	0.185589	32.176186
24	NO_ID	0.507442	0.148362	0.627454	41.792775	0.730035	0.524919	0.438040	81.306650	0.925289	0.486248	0.203034	62.833633
25	NO_ID	0.580568	0.114355	0.266173	85.548070	0.118819	0.563208	0.070634	54.765364	0.427988	0.568381	0.493383	45.741996
26	NO_ID	0.648222	0.155945	0.685079	42.196703	0.123193	0.730888	0.568770	41.052590	0.917465	0.782879	0.610397	45.015216
27	NO_ID	0.659903	0.660322	0.695052	47.294186	0.328922	0.870968	0.517514	71.479313	0.421969	0.496621	0.102076	82.705135
28	NO_ID	0.946951	0.790864	0.549015	59.077057	0.534088	0.445558	0.583180	72.417891	0.865532	0.056426	0.378702	39.181568
29	NO_ID	0.708171	0.915913	0.404347	52.117254	0.231625	0.526122	0.219171	52.085416	0.578755	0.319470	0.092337	63.728595
30	NO_ID	0.344652	0.612067	0.238953	62.598009	0.859316	0.127246	0.311528	65.399458	0.765658	0.705804	0.483843	71.667546
31	NO_ID	0.253790	0.877045	0.134404	56.694087	0.241617	0.760199	0.184963	51.978150	0.716822	0.612241	0.430747	36.819427
32	NO_ID	0.592158	0.610800	0.452638	41.562527	0.272130	0.552801	0.347282	72.803260	0.537530	0.485431	0.310323	79.533169
33	NO_ID	0.876925	0.194436	0.601337	69.187391	0.818349	0.889231	0.650656	49.059085	0.817507	0.435649	0.479680	34.750816
34	NO_ID	0.643745	0.636452	0.068116	88.766525	0.463903	0.121363	0.279618	50.512189	0.667664	0.641966	0.450772	88.588856
35	NO_ID	0.308538	0.105095	0.232515	65.389049	0.651464	0.467129	0.662878	52.013659	0.169399	0.755865	0.068720	87.224517
36	NO_ID	0.110575	0.942864	0.553991	41.120098	0.098466	0.632324	0.593056	30.175093	0.878818	0.707150	0.549716	71.429933
37	NO_ID	0.428985	0.177592	0.174887	86.385826	0.061555	0.065082	0.408302	76.706437	0.457708	0.457086	0.555672	42.574321
38	NO_ID	0.473648	0.322502	0.379342	67.295071	0.222988	0.820521	0.664571	71.941254	0.925551	0.775751	0.554547	61.360656
39	NO_ID	0.505296	0.473549	0.121253	60.238018	0.182094	0.272757	0.185331	66.736477	0.072696	0.138739	0.513673	36.666937
40	NO_ID	0.209828	0.218433	0.651714	41.753117	0.364992	0.109491	0.494556	64.388184	0.420692	0.877708	0.669538	49.939070
41	NO_ID	0.808367	0.790616	0.389128	70.087416	0.493038	0.343764	0.111982	38.536942	0.146987	0.506818	0.443899	86.970043
42	NO_ID	0.232503	0.770128	0.086685	43.073081	0.221417	0.600449	0.659622	61.969659	0.557185	0.859871	0.384783	77.199855
43	NO_ID	0.778932	0.613946	0.464217	65.529098	0.777574	0.376687	0.397373	51.079528	0.090660	0.546389	0.345837	72.823155
44	NO_ID	0.770175	0.877308	0.243960	62.910435	0.357670	0.829999	0.056787	40.300824	0.373633	0.096251	0.629084	84.106646
45	NO_ID	0.700982	0.631836	0.501981	61.750880	0.597934	0.844246	0.418835	36.251650	0.746849	0.662517	0.401130	38.444681
46	NO_ID	0.452204	0.146595	0.469956	44.159381	0.107986	0.676189	0.698982	57.692504	0.212919	0.718166	0.091906	77.748303
47	NO_ID	0.086606	0.907303	0.298491	69.280630	0.810131	0.139196	0.127532	79.864349	0.378649	0.338427	0.213363	65.940581
48	NO_ID	0.363103	0.311896	0.223569	35.756647	0.549082	0.136901	0.180617	52.210266	0.244805	0.529762	0.364641	77.299051
49	NO_ID	0.698568	0.873237	0.586864	69.301156	0.754414	0.449533	0.625128	61.590519	0.241272	0.571191	0.513765	37.819833
50	NO_ID	0.884477	0.540604	0.661765	57.778861	0.153231	0.330440	0.154904	81.744114	0.801443	0.326815	0.442763	57.014892
51	NO_ID	0.161081	0.837399	0.090731	50.677238	0.783966	0.500580	0.570709	42.439262	0.704107	0.762971	0.196799	53.658595
52	NO_ID	0.274733	0.749700	0.571661	49.463405	0.760479	0.904283	0.157128	42.416206	0.289270	0.401133	0.671714	69.429029
53	NO_ID	0.167262	0.668560	0.577534	48.575631	0.371898	0.233973	0.393462	84.090901	0.456197	0.659590	0.410341	52.692793
54	NO_ID	0.597896	0.340034	0.487005	38.885117	0.850052	0.945743	0.573268	79.293203	0.161193	0.660786	0.298097	45.368987
55	NO_ID	0.255718	0.570265	0.540382	30.994793	0.660323	0.430236	0.120746	38.148441	0.347205	0.904362	0.697898	72.735851
56	NO_ID	0.596700	0.797276	0.362225	71.771738	0.207555	0.647226	0.231279	79.338789	0.266360	0.887258	0.132247	47.797405
57	NO_ID	0.663172	0.871596	0.397773	67.275406	0.279108	0.487820	0.604468	40.183865	0.174751	0.173573	0.532835	88.620810
58	NO_ID	0.061734	0.117094	0.673985	70.345178	0.296474	0.394859	0.115780	60.746063	0.599583	0.849600	0.170588	88.794150
59	NO_ID	0.535143	0.066951	0.151290	87.012013	0.825001	0.901008	0.404530	55.206899	0.308434	0.782101	0.565061	77.913059
60	NO_ID	0.095239	0.507352	0.236919	32.440483	0.230807	0.325418	0.352534	84.034666	0.563639	0.847450	0.349119	40.382242
61	NO_ID	0.679364	0.570015	0.348191	70.588712	0.350113	0.541035	0.139695	40.496751	0.835457	0.137030	0.246194	42.133583
62	NO_ID	0.519788	0.132780	0.444838	59.035329	0.791974	0.270157	0.458580	63.143249	0.171773	0.287320	0.265133	42.645927
63	NO_ID	0.435422	0.814021	0.501119	31.805868	0.900450	0.605088	0.411673	55.773109	0.733623	0.308790	0.622642	39.279655
64	NO_ID	0.282747	0.534671	0.570845	61.272376	0.319496	0.651073	0.299314	30.137091	0.720521	0.356858	0.328229	86.453461
65	NO_ID	0.920892	0.459021	0.388894	51.301574	0.760698	0.489066	0.109784	79.946933	0.510903	0.135478	0.133761	54.725482
66	NO_ID	0.790204	0.790506	0.627654	59.262502	0.861342	0.435228	0.478023	70.905998	0.399004	0.260720	0.527605	78.456819
67	NO_ID	0.220901	0.890741	0.549365	59.544331	0.159322	0.390407	0.390240	46.015181	0.631114	0.896192	0.660610	74.579688
68	NO_ID	0.901647	0.090726	0.205264	84.893409	0.365360	0.461071	0.611113	64.656957	0.317735	0.418229	0.596024	52.716588
69	NO_ID	0.279697	0.239485	0.689252	53.447666	0.574384	0.286218	0.565343	86.273274	0.624904	0.659863	0.516408	57.065070
70	NO_ID	0.184123	0.583203	0.226332	47.836849	0.375308	0.265771	0.419169	43.387925	0.929419	0.465829	0.686613	74.312239
71	NO_ID	0.929991	0.151819	0.236318	58.972564	0.691491	0.807034	0.441076	87.306000	0.738299	0.415750	0.673501	47.090061
72	NO_ID	0.268866	0.248269	0.342029	61.506864	0.451003	0.820163	0.491206	86.935767	0.628359	0.087199	0.536087	88.050388
73	NO_ID	0.594978	0.497420	0.056426	78.334187	0.447455	0.128854	0.273880	70.877877	0.629766	0.806955	0.116467	79.852242
74	NO_ID	0.432364	0.237576	0.355061	41.615715	0.134845	0.336087	0.605907	88.577694	0.669494	0.356917	0.592216	33.713308
75	NO_ID	0.114871	0.083804	0.486318	70.765725	0.857786	0.933799	0.265657	39.761199	0.876931	0.609959	0.286981	51.163113
76	NO_ID	0.891923	0.356905	0.122158	78.810286	0.378433	0.901503	0.069857	87.325752	0.784308	0.126666	0.167004	44.498972
77	NO_ID	0.583215	0.826558	0.446751	80.842247	0.354905	0.871663	0.679447	54.425778	0.534549	0.489171	0.543963	83.385567
78	NO_ID	0.598680	0.221002	0.643765	69.104126	0.557815	0.200026	0.117541	36.648042	0.491625	0.533248	0.688704	62.172246
79	NO_ID	0.321699	0.941564	0.632156	39.148737	0.358363	0.921025	0.669315	31.202581	0.581280	0.462009	0.484245	53.270044
80	NO_ID	0.376143	0.217109	0.223124	38.925948	0.258889	0.668993	0.581199	30.121857	0.258790	0.736069	0.566786	64.125187
81	NO_ID	0.379593	0.303441	0.609557	83.419185	0.078009	0.315747	0.268088	58.858706	0.829336	0.070221	0.190286	83.726491
82	NO_ID	0.901637	0.856807	0.505677	39.505333	0.451629	0.351455	0.298600	82.785124	0.281180	0.065985	0.445848	65.310425
83	NO_ID	0.387304	0.549856	0.585551	88.593495	0.589453	0.611536	0.445294	80.249960	0.580132	0.811892	0.133893	82.724311
84	NO_ID	0.832035	0.520914	0.394340	82.544661	0.418301	0.571596	0.695870	59.499491	0.401073	0.343322	0.192720	52.433892
85	NO_ID	0.410352	0.294618	0.486731	57.570666	0.441961	0.908652	0.685978	38.164617	0.828287	0.811759	0.175476	78.787424
86	NO_ID	0.825050	0.670394	0.553008	41.156998	0.582703	0.412159	0.169742	34.088366	0.412646	0.371409	0.494192	61.005971
87	NO_ID	0.222861	0.818824	0.626582	42.519140	0.897465	0.101964	0.558398	76.181440	0.844566	0.701221	0.532451	88.435289
88	NO_ID	0.928791	0.924269	0.252766	82.412571	0.398010	0.434268	0.306259	38.218141	0.350496	0.843346	0.608181	72.788443
89	NO_ID	0.396946	0.267926	0.153161	31.074848	0.376031	0.273080	0.139135	61.269038	0.510655	0.312968	0.648124	54.929060
90	NO_ID	0.390517	0.348529	0.584848	50.783766	0.202137	0.513645	0.194976	73.285162	0.384674	0.088476	0.093340	35.305321
91	NO_ID	0.346580	0.867327	0.576279	62.027284	0.442308	0.792025	0.138573	62.730569	0.481313	0.429149	0.277564	33.816306
92	NO_ID	0.282488	0.673513	0.126235	63.826347	0.310803	0.324058	0.697716	69.393547	0.201346	0.622423	0.597819	80.345761
93	NO_ID	0.756987	0.498363	0.236278	89.269164	0.672309	0.639803	0.314112	48.283005	0.313102	0.112698	0.529058	73.994068
94	NO_ID	0.367760	0.648897	0.629626	37.559893	0.681766	0.699904	0.112218	75.897093	0.512616	0.159951	0.459669	87.414645
95	NO_ID	0.947464	0.854424	0.332016	30.933145	0.468199	0.917666	0.358147	37.330437	0.802922	0.731670	0.258897	73.099509
96	NO_ID	0.406549	0.949094	0.468229	52.337810	0.910181	0.541479	0.409905	62.493053	0.324123	0.311891	0.648422	49.900503
97	NO_ID	0.239546	0.263575	0.236918	74.345760	0.319035	0.904597	0.086629	76.939613	0.838858	0.137080	0.215811	67.007572
98	NO_ID	0.078371	0.151527	0.510305	67.558274	0.608077	0.781653	0.158835	65.031398	0.524070	0.929634	0.183775	82.839903
99	NO_ID	0.549915	0.818722	0.662261	62.009615	0.286252	0.832764	0.545450	61.588410	0.126175	0.560308	0.516174	76.199060
100	NO_ID	0.739948	0.304805	0.395938	75.284532	0.590004	0.088135	0.423295	45.120873	0.071510	0.764724	0.172678	81.554709
101	NO_ID	0.248851	0.107812	0.130084	66.300665	0.796214	0.921799	0.370544	38.746225	0.493671	0.246033	0.267197	84.760947
102	NO_ID	0.537317	0.859334	0.445072	58.951816	0.948631	0.211267	0.316167	47.572719	0.643134	0.275353	0.354429	83.965666
103	NO_ID	0.236052	0.395370	0.389453	48.112793	0.365074	0.551494	0.079582	87.383033	0.346538	0.371929	0.108768	47.261512
104	NO_ID	0.827777	0.645448	0.498802	64.221012	0.832207	0.916916	0.425708	46.711752	0.730634	0.179670	0.395048	77.512631
105	NO_ID	0.513426	0.052860	0.367255	36.731236	0.808000	0.482606	0.195966	86.148809	0.228423	0.426185	0.283090	61.650846
106	NO_ID	0.687561	0.871877	0.621391	51.899492	0.814695	0.466271	0.188549	61.856123	0.426282	0.398612	0.146455	87.828794
107	NO_ID	0.699859	0.130843	0.259054	82.685358	0.809652	0.725621	0.358711	33.156614	0.768546	0.823459	0.617878	86.160045
108	NO_ID	0.399557	0.659467	0.618939	42.827778	0.764821	0.205987	0.587643	41.783477	0.844125	0.259787	0.550759	62.156959
109	NO_ID	0.736477	0.628667	0.319442	67.819976	0.710682	0.500934	0.510549	61.795654	0.656394	0.801580	0.664966	59.748304
110	NO_ID	0.639343	0.753857	0.565037	61.276912	0.639464	0.333506	0.238844	30.290661	0.740982	0.424719	0.129658	75.648298
111	NO_ID	0.406901	0.884576	0.657801	75.157847	0.752228	0.231637	0.476464	45.646985	0.422658	0.614536	0.328109	39.466029
112	NO_ID	0.927659	0.130571	0.491121	75.940051	0.241727	0.174867	0.643034	41.590141	0.196306	0.500786	0.461569	51.634472
113	NO_ID	0.848681	0.689626	0.308619	52.919096	0.274740	0.293420	0.170279	85.352340	0.587313	0.652512	0.220676	81.771138
114	NO_ID	0.737838	0.803806	0.442126	69.087475	0.475433	0.891455	0.233739	72.927728	0.719610	0.099244	0.118395	66.324608
115	NO_ID	0.881678	0.648454	0.429227	76.156391	0.592299	0.065213	0.678906	88.557486	0.239712	0.158578	0.562517	89.521998
116	NO_ID	0.836337	0.718190	0.597826	60.427543	0.077262	0.646793	0.289986	54.821415	0.653059	0.373111	0.612499	54.840074
117	NO_ID	0.669102	0.274432	0.501473	55.371892	0.558200	0.528893	0.271470	50.358892	0.105942	0.314958	0.099367	76.227680
118	NO_ID	0.505105	0.685647	0.085708	38.440166	0.076186	0.549395	0.548107	85.289410	0.869464	0.261385	0.535819	75.713786
119	NO_ID	0.663041	0.601654	0.255756	70.387669	0.417131	0.305991	0.532729	47.968123	0.084914	0.563312	0.696138	34.205224
120	NO_ID	0.919379	0.921505	0.216460	53.445268	0.198006	0.286065	0.058625	76.447185	0.175038	0.771736	0.494886	38.033001
121	NO_ID	0.848284	0.455599	0.358809	45.362906	0.575017	0.530656	0.492795	57.093193	0.636915	0.292461	0.366870	49.528451
122	NO_ID	0.407236	0.313885	0.595759	36.106046	0.856369	0.405044	0.135266	39.784267	0.667265	0.387848	0.384352	79.254879
123	NO_ID	0.698745	0.792628	0.398971	73.751316	0.674001	0.571561	0.534627	52.928878	0.853021	0.398860	0.165653	89.912757
124	NO_ID	0.225341	0.056874	0.229739	83.573000	0.805355	0.442425	0.198621	51.229225	0.062694	0.886731	0.343544	69.836693
125	NO_ID	0.169290	0.430305	0.290377	71.195873	0.702538	0.720803	0.511020	66.581592	0.541821	0.671212	0.601980	88.915013
126	NO_ID	0.314280	0.467562	0.197412	89.260318	0.591696	0.577673	0.365287	78.400519	0.496264	0.226300	0.606560	57.089948
127	NO_ID	0.065229	0.504155	0.141567	88.966219	0.561557	0.838461	0.556020	42.634524	0.549009	0.822995	0.582155	78.318350
128	NO_ID	0.660870	0.554638	0.138256	48.970955	0.614703	0.785097	0.136971	42.854916	0.498323	0.442983	0.688044	87.039266
129	NO_ID	0.911237	0.106254	0.432229	63.793161	0.161698	0.117753	0.526066	87.623197	0.130614	0.317098	0.271854	70.175116
130	NO_ID	0.867952	0.527062	0.524404	54.679108	0.386423	0.668424	0.101500	71.097570	0.142086	0.395310	0.128253	70.352625
131	NO_ID	0.264286	0.460180	0.571249	71.425225	0.330827	0.541170	0.640116	78.984087	0.714774	0.231895	0.588948	71.301748
132	NO_ID	0.539333	0.774044	0.424434	47.930311	0.873376	0.945893	0.169467	39.570000	0.378450	0.423711	0.465393	42.805633
133	NO_ID	0.232859	0.513978	0.061752	49.987623	0.139257	0.500749	0.512880	64.810667	0.234294	0.657159	0.363086	68.686357
134	NO_ID	0.803821	0.798288	0.250209	45.178757	0.458870	0.229374	0.153696	43.427743	0.877375	0.291225	0.327085	68.175274
135	NO_ID	0.943240	0.865585	0.670396	69.116386	0.820060	0.571359	0.403058	72.117066	0.253059	0.193875	0.466841	35.026955
136	NO_ID	0.610633	0.094801	0.338234	63.397341	0.455096	0.318978	0.689163	67.470382	0.876478	0.390925	0.495626	54.996321
137	NO_ID	0.267742	0.555521	0.663097	44.924861	0.938205	0.063230	0.665347	33.349190	0.748758	0.393595	0.409304	63.597755
138	NO_ID	0.411596	0.906078	0.522361	61.017486	0.654134	0.568054	0.685942	51.399800	0.858739	0.772372	0.575692	54.086601
139	NO_ID	0.163870	0.156147	0.067487	61.599934	0.946352	0.821569	0.575806	81.907539	0.165369	0.380566	0.607177	33.255786
140	NO_ID	0.055342	0.148046	0.245109	80.042415	0.552433	0.949320	0.180389	87.212436	0.564160	0.175336	0.131153	49.722678
141	NO_ID	0.138892	0.757620	0.684487	58.438610	0.241979	0.403323	0.277121	45.764210	0.307494	0.470448	0.232963	32.637425
142	NO_ID	0.572588	0.605707	0.415572	41.559216	0.535940	0.650685	0.448511	31.735208	0.805848	0.271997	0.147822	32.002754
143	NO_ID	0.573220	0.479570	0.270516	40.817275	0.171862	0.163825	0.172042	76.299550	0.091121	0.115135	0.173025	49.510993
144	NO_ID	0.365113	0.812556	0.515003	43.863564	0.353425	0.672594	0.499005	55.906979	0.740458	0.349695	0.629157	51.712280
145	NO_ID	0.421884	0.203866	0.468485	63.958505	0.786828	0.623744	0.403365	52.579497	0.132882	0.175827	0.571060	48.256102
146	NO_ID	0.251228	0.643831	0.572468	31.049812	0.818440	0.614203	0.524710	71.798127	0.935543	0.509235	0.607303	54.463612
147	NO_ID	0.617728	0.766945	0.428184	57.189238	0.836079	0.154548	0.619254	87.039541	0.204358	0.165769	0.685425	44.669414
148	NO_ID	0.255363	0.574955	0.546685	30.641403	0.345245	0.651989	0.257988	34.219895	0.177642	0.171836	0.103305	37.077978
149	NO_ID	0.556489	0.501115	0.385234	62.013422	0.442729	0.535568	0.495047	70.690062	0.156396	0.128924	0.190137	43.328659
150	NO_ID	0.505043	0.079123	0.122624	43.774325	0.344560	0.618385	0.218999	30.576968	0.138212	0.860604	0.208400	47.314708
151	NO_ID	0.679168	0.379661	0.378545	56.261445	0.578314	0.340234	0.518739	73.242602	0.303404	0.662545	0.321308	74.467107
152	NO_ID	0.623789	0.227675	0.410261	55.349104	0.711034	0.831979	0.366308	40.614594	0.586234	0.294463	0.524776	55.473219
153	NO_ID	0.287142	0.643267	0.196189	44.064920	0.551884	0.116609	0.648574	32.341678	0.902972	0.465405	0.615365	35.411269
154	NO_ID	0.153674	0.110371	0.148312	89.614632	0.539103	0.459544	0.153421	69.362175	0.393095	0.212280	0.616098	54.987520
155	NO_ID	0.670080	0.558783	0.288124	70.854183	0.418285	0.671231	0.616042	73.958320	0.140069	0.343404	0.585335	71.448326
156	NO_ID	0.430642	0.938685	0.127145	31.128556	0.112837	0.508211	0.326838	66.254554	0.912759	0.889404	0.105047	71.390321
157	NO_ID	0.178060	0.949564	0.598928	83.194949	0.214144	0.653098	0.313000	58.783990	0.142717	0.487711	0.652787	81.284983
158	NO_ID	0.333130	0.711054	0.660885	74.519470	0.461899	0.309702	0.257283	62.012831	0.676451	0.376770	0.530927	80.391584
159	NO_ID	0.864637	0.515278	0.563642	38.121012	0.932062	0.759577	0.166459	63.517049	0.660040	0.295218	0.587411	42.202902
160	NO_ID	0.680788	0.265617	0.543701	83.225280	0.598176	0.830984	0.396966	36.666421	0.333966	0.050275	0.592256	34.211042
161	NO_ID	0.440118	0.812026	0.442324	75.209899	0.306297	0.939038	0.402461	62.747410	0.559781	0.164082	0.192424	81.876447
162	NO_ID	0.272866	0.692718	0.543346	51.001788	0.830592	0.123602	0.628753	55.584187	0.678973	0.272521	0.542523	62.781586
163	NO_ID	0.556090	0.299804	0.055103	41.606896	0.700678	0.482920	0.570191	81.007302	0.349430	0.829057	0.171580	73.218885
164	NO_ID	0.601607	0.698782	0.527817	85.215822	0.630032	0.601918	0.359030	64.449413	0.560306	0.134406	0.225223	68.268894
165	NO_ID	0.153252	0.144205	0.380986	48.083826	0.776649	0.312084	0.353085	37.028402	0.739383	0.291442	0.397350	83.628935
166	NO_ID	0.142322	0.567570	0.163184	67.368620	0.276617	0.056796	0.551639	67.120609	0.154025	0.234335	0.111802	70.131323
167	NO_ID	0.877681	0.455804	0.497484	31.862056	0.920452	0.127207	0.524583	50.283484	0.305321	0.656448	0.426941	88.232961
168	NO_ID	0.088103	0.892671	0.065067	72.628220	0.285963	0.853736	0.205003	64.745048	0.138252	0.615858	0.202911	52.734074
169	NO_ID	0.766767	0.697183	0.596088	71.416466	0.282965	0.247645	0.647295	87.684774	0.916736	0.548368	0.390887	36.229437
170	NO_ID	0.779825	0.313249	0.690671	69.007249	0.266603	0.497782	0.543477	37.853641	0.409377	0.705938	0.322039	49.963208
171	NO_ID	0.441209	0.630181	0.529759	47.284057	0.208944	0.689957	0.642298	59.924410	0.827895	0.271670	0.260635	54.027118
172	NO_ID	0.835509	0.812695	0.100761	74.552304	0.147040	0.117117	0.332684	74.515904	0.760309	0.399816	0.336490	77.932798
173	NO_ID	0.902621	0.398591	0.537732	47.858564	0.862387	0.223854	0.164723	73.471301	0.121728	0.905989	0.648165	80.513513
174	NO_ID	0.515189	0.303397	0.526530	75.999791	0.566410	0.733976	0.277735	78.037032	0.362848	0.309268	0.565476	85.403643
175	NO_ID	0.178910	0.550153	0.573662	42.106707	0.356986	0.086412	0.298026	38.528974	0.727576	0.556208	0.061626	77.383301
176	NO_ID	0.627516	0.117179	0.056851	67.086053	0.908331	0.823789	0.554004	76.498211	0.273819	0.565923	0.664336	36.765805
177	NO_ID	0.917823	0.832450	0.620616	48.151355	0.273424	0.352041	0.429913	73.998872	0.814088	0.947561	0.228028	87.248339
178	NO_ID	0.154718	0.233680	0.692687	84.394863	0.076634	0.563530	0.536148	74.067792	0.057299	0.672937	0.629247	66.309402
179	NO_ID	0.405341	0.536903	0.485090	39.695141	0.777858	0.258436	0.065646	74.649546	0.696609	0.261410	0.482029	71.505653
180	NO_ID	0.710882	0.124936	0.588707	73.077437	0.581268	0.442064	0.363200	32.102869	0.153881	0.749523	0.475359	50.786620
181	NO_ID	0.468900	0.290865	0.210926	85.488889	0.250276	0.722025	0.677011	84.129490	0.903170	0.545609	0.517260	56.319588
182	NO_ID	0.433526	0.651880	0.429379	50.446407	0.607558	0.286325	0.629132	54.650470	0.924465	0.112573	0.245469	59.174205
183	NO_ID	0.315921	0.858884	0.229073	44.670616	0.149251	0.455504	0.325345	70.067061	0.519268	0.675228	0.146943	30.921673
184	NO_ID	0.595844	0.949026	0.610639	61.093382	0.572972	0.655632	0.095796	62.766051	0.430117	0.240892	0.088760	44.311791
185	NO_ID	0.354951	0.150863	0.071272	40.577972	0.775915	0.097811	0.362619	86.739803	0.483962	0.525857	0.478257	79.742995
186	NO_ID	0.351844	0.090111	0.394929	72.402074	0.497748	0.279000	0.520726	40.948161	0.355376	0.115053	0.059464	52.309342
187	NO_ID	0.493423	0.474477	0.090741	70.402091	0.347066	0.688957	0.514115	56.581040	0.301786	0.051915	0.530060	74.605054
188	NO_ID	0.612976	0.592176	0.145263	67.834693	0.418094	0.276792	0.645164	49.261926	0.151009	0.904833	0.598078	87.509898
189	NO_ID	0.382803	0.385449	0.380055	52.711455	0.343694	0.928956	0.258406	76.377353	0.064395	0.466707	0.069239	84.146317
190	NO_ID	0.169046	0.125370	0.336083	50.668476	0.409648	0.322314	0.660383	47.419613	0.471789	0.829255	0.296722	63.103315
191	NO_ID	0.669244	0.302102	0.420558	81.194210	0.677418	0.221521	0.136098	89.336777	0.550376	0.499448	0.558473	68.448116
192	NO_ID	0.694298	0.769404	0.467222	53.003365	0.185600	0.076301	0.566705	79.027322	0.109311	0.368860	0.382575	44.137684
193	NO_ID	0.635681	0.238277	0.257497	30.018059	0.313187	0.345577	0.253194	30.552265	0.400270	0.230344	0.127591	87.760997
194	NO_ID	0.158865	0.507416	0.526569	80.330362	0.723374	0.831605	0.381656	67.729443	0.076682	0.069293	0.122331	82.663017
195	NO_ID	0.898610	0.372003	0.258288	59.517732	0.930690	0.334283	0.104965	53.771999	0.923177	0.878044	0.681631	89.458998
196	NO_ID	0.812479	0.753698	0.525179	72.841846	0.135618	0.106292	0.250339	36.522252	0.649274	0.845001	0.274718	73.991055
197	NO_ID	0.421041	0.254125	0.165536	65.559588	0.250870	0.067485	0.486255	35.002341	0.940197	0.128713	0.086165	49.351249
198	NO_ID	0.566894	0.594981	0.377978	73.294396	0.114396	0.801225	0.676818	40.153095	0.820999	0.770468	0.290736	85.280615
199	NO_ID	0.599561	0.092148	0.495091	49.130900	0.714189	0.802032	0.475578	44.302865	0.517277	0.803969	0.568913	61.893645
200	NO_ID	0.608731	0.066619	0.636667	47.587911	0.716615	0.851145	0.608544	82.771123	0.575721	0.767218	0.150922	42.028443
201	NO_ID	0.392461	0.786746	0.210573	67.245643	0.886517	0.679019	0.619221	64.801620	0.059467	0.559283	0.620251	33.451012
202	NO_ID	0.556180	0.683468	0.181042	37.190376	0.839613	0.283938	0.266344	72.356676	0.056433	0.513320	0.357869	56.074670
203	NO_ID	0.405485	0.934284	0.504471	33.711676	0.165112	0.675604	0.482194	81.435071	0.856363	0.505596	0.067286	41.613722
204	NO_ID	0.410472	0.431791	0.430229	57.818204	0.766209	0.682652	0.576948	76.344481	0.524890	0.507817	0.569174	30.216626
